concept_code,vocabulary_id,cluster
M20.42,ICD10CM,acquired_foot_deformities
Z89.449,ICD10CM,acquired_foot_deformities
M20.039,ICD10CM,acquired_foot_deformities
M21.729,ICD10CM,acquired_foot_deformities
M24.575,ICD10CM,acquired_foot_deformities
M20.099,ICD10CM,acquired_foot_deformities
M21.722,ICD10CM,acquired_foot_deformities
M21.622,ICD10CM,acquired_foot_deformities
M20.031,ICD10CM,acquired_foot_deformities
M24.519,ICD10CM,acquired_foot_deformities
Z89.629,ICD10CM,acquired_foot_deformities
M21.521,ICD10CM,acquired_foot_deformities
M21.70,ICD10CM,acquired_foot_deformities
M21.761,ICD10CM,acquired_foot_deformities
M95.2,ICD10CM,acquired_foot_deformities
M21.869,ICD10CM,acquired_foot_deformities
M21.921,ICD10CM,acquired_foot_deformities
M21.831,ICD10CM,acquired_foot_deformities
M20.31,ICD10CM,acquired_foot_deformities
